Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H31S1V001	H31S1V002	H31S1V003	H31S1V004	H31S1V005	H31S1V006	H31S1V007	H31S1V008
607	"RICHELIEU"	"Quebec"	"1966 - 1998"	31	"1979.05.22"	1557	"715ef7c2-6ff6-4099-9e76-79c3b8961c73"	"LEDUC, Jean-Louis"	"Liberal Party of Canada"	"Businessman, professor"		1	1								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
306	"HURON--BRUCE"	"Ontario"	"1977 - "	31	"1979.05.22"	1558	"715fb714-5a4c-4ade-9a09-2a1e3b0bbb56"	"MCKINLEY, Robert E."	"Progressive Conservative Party"	"Businessman, farmer, insurance broker, investment broker"		0	5								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"9"	"1"	"2"
60	"BRAMPTON--GEORGETOWN"	"Ontario"	"1976 - 1987"	31	"1979.05.22"	1562	"71c118d7-3cce-4efc-865f-821d79ecc257"	"MCDERMID, John"	"Progressive Conservative Party"	"Marketing manager, public relations officer, radio announcer, television announcer"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
273	"HAMILTON--WENTWORTH"	"Ontario"	"1966 - 1996"	31	"1979.05.22"	1567	"7210c04b-6e1d-4223-b647-04facd2ad870"	"SCOTT, Geoff"	"Progressive Conservative Party"	"Broadcaster, journalist"		0	2								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
133	"CHARLESBOURG"	"Quebec"	"1976 - 2000"	31	"1979.05.22"	1580	"72948d0d-b067-4c29-9fc3-c2bef9199c5c"	"BUSSIERES, Pierre"	"Liberal Party of Canada"	"Executive assistant"		1	2								""	""	""		""	"2"	"9"	"1"	"9"	"1"	"2"	"2"	"1"
478	"NEPEAN--CARLETON"	"Ontario"	"1976 - 1987"	31	"1979.05.22"	1581	"729e307d-8f1b-47d7-822a-abf963943fb2"	"BAKER, Walter"	"Progressive Conservative Party"	"Lawyer, solicitor"		0	3		1						""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
526	"OUTREMONT"	"Quebec"	"1966 - "	31	"1979.05.22"	1582	"729f0dd2-a100-4731-8437-ddbdf67f4884"	"LALONDE, Marc"	"Liberal Party of Canada"	"Author, lawyer"		1	3								""	""	""		""	"2"	"2"	"1"	"9"	"1"	"2"	"2"	"1"
610	"RICHMOND"	"Quebec"	"1966 - 1980"	31	"1979.05.22"	1602	"73b84ae6-7953-4bc2-90b7-ff2074f4e1a0"	"TARDIF, Alain"	"Liberal Party of Canada"	"Lawyer"		1	1								""	""	""		""	"2"	"9"	"1"	"1"	"1"	"2"	"9"	"1"
20	"ARGENTEUIL"	"Quebec"	"1976 - 1980"	31	"1979.05.22"	1621	"75971bc3-9b18-42a0-a5f6-524b6f4032d6"	"GOURD, Robert"	"Liberal Party of Canada"	"Administrator, manufacturer"		1	1								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
686	"SIMCOE NORTH"	"Ontario"	"1867 - "	31	"1979.05.22"	1626	"761a9263-10e4-4b7c-848d-e7ba3a1f500e"	"LEWIS, Doug"	"Progressive Conservative Party"	"Chartered accountant, lawyer"		0	1			1					""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
416	"MADAWASKA--VICTORIA"	"New Brunswick"	"1966 - 1996"	31	"1979.05.22"	1630	"76584d20-3291-4a3d-a2e8-f4870bd072e1"	"CORBIN, Eymard G."	"Liberal Party of Canada"	"Journalist, teacher"		0	4								""	""	""		""	"2"	"2"	"1"	"9"	"1"	"2"	"2"	"1"
553	"PONTIAC--GATINEAU--LABELLE"	"Quebec"	"1978 - 2003"	31	"1979.05.22"	1668	"785bb447-d52b-4af0-ab24-129278dcde16"	"LEFEBVRE, Thomas"	"Liberal Party of Canada"	"Garage owner / operator"		0	5								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"
282	"HASTINGS--FRONTENAC"	"Ontario"	"1976 - 1981"	31	"1979.05.22"	1669	"7872292a-9832-460a-9ce5-08369d7a25c0"	"VANKOUGHNET, Bill"	"Progressive Conservative Party"	"Municipal administrator"		0	1								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
653	"SAINT-MICHEL"	"Quebec"	"1966 - 1983"	31	"1979.05.22"	1677	"78fcd6e1-d6b6-4200-84d9-8da95971d3d6"	"KILLENS, Therese"	"Liberal Party of Canada"	"Administrator"		1	1								""	""	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"9"	"1"
429	"MATAPEDIA--MATANE"	"Quebec"	"1976 - 2004"	31	"1979.05.22"	1699	"7a7a07c4-5344-4e5c-aa2c-2e8198adf5ec"	"DE BANE, Pierre"	"Liberal Party of Canada"	"Lawyer"		1	4								""	"Palestine"	""		""	"2"	"2"	"1"	"1"	"1"	"9"	"9"	"1"
