session,division,party,date,governing,category,stage,bill,bill_type_source,whip_status,member_scope,source_id,majority_defined,dissenters,binary_members,contested,subject
38-1,22,Bloc Québécois,2004-12-07T15:25:25,False,government_bill,third_reading,C-14,legisinfo,category_proxy_other,unknown,,True,0,51,True,"3rd reading and adoption of Bill C-14, An Act to give effect to a land claims and self-government agreement among the Tlicho, the Government of the Northwest Territories and the Government of Canada, to make related amendments to the Mackenzie Valley Resource Management Act and to make consequential amendments to other Acts"
38-1,22,Green Party,2004-12-07T15:25:25,False,government_bill,third_reading,C-14,legisinfo,category_proxy_other,unknown,,False,,0,True,"3rd reading and adoption of Bill C-14, An Act to give effect to a land claims and self-government agreement among the Tlicho, the Government of the Northwest Territories and the Government of Canada, to make related amendments to the Mackenzie Valley Resource Management Act and to make consequential amendments to other Acts"
38-1,23,Conservative,2004-12-07T15:35:57,False,government_bill,second_reading,C-9,legisinfo,category_proxy_other,unknown,,True,0,93,True,"2nd reading of Bill C-9, An Act to establish the Economic Development Agency of Canada for the Regions of Quebec"
38-1,23,Liberal,2004-12-07T15:35:57,True,government_bill,second_reading,C-9,legisinfo,category_proxy_other,unknown,,True,0,128,True,"2nd reading of Bill C-9, An Act to establish the Economic Development Agency of Canada for the Regions of Quebec"
38-1,23,NDP,2004-12-07T15:35:57,False,government_bill,second_reading,C-9,legisinfo,category_proxy_other,unknown,,True,0,19,True,"2nd reading of Bill C-9, An Act to establish the Economic Development Agency of Canada for the Regions of Quebec"
38-1,23,Bloc Québécois,2004-12-07T15:35:57,False,government_bill,second_reading,C-9,legisinfo,category_proxy_other,unknown,,True,0,51,True,"2nd reading of Bill C-9, An Act to establish the Economic Development Agency of Canada for the Regions of Quebec"
38-1,23,Green Party,2004-12-07T15:35:57,False,government_bill,second_reading,C-9,legisinfo,category_proxy_other,unknown,,False,,0,True,"2nd reading of Bill C-9, An Act to establish the Economic Development Agency of Canada for the Regions of Quebec"
38-1,24,Conservative,2004-12-07T15:45:22,False,government_bill,second_reading,C-22,legisinfo,category_proxy_other,unknown,,True,0,93,True,"2nd reading of Bill C-22, An Act to establish the Department of Social Development and to amend and repeal certain related Acts"
38-1,24,Liberal,2004-12-07T15:45:22,True,government_bill,second_reading,C-22,legisinfo,category_proxy_other,unknown,,True,0,128,True,"2nd reading of Bill C-22, An Act to establish the Department of Social Development and to amend and repeal certain related Acts"
38-1,24,NDP,2004-12-07T15:45:22,False,government_bill,second_reading,C-22,legisinfo,category_proxy_other,unknown,,True,0,19,True,"2nd reading of Bill C-22, An Act to establish the Department of Social Development and to amend and repeal certain related Acts"
38-1,24,Bloc Québécois,2004-12-07T15:45:22,False,government_bill,second_reading,C-22,legisinfo,category_proxy_other,unknown,,True,0,51,True,"2nd reading of Bill C-22, An Act to establish the Department of Social Development and to amend and repeal certain related Acts"
38-1,24,Green Party,2004-12-07T15:45:22,False,government_bill,second_reading,C-22,legisinfo,category_proxy_other,unknown,,False,,0,True,"2nd reading of Bill C-22, An Act to establish the Department of Social Development and to amend and repeal certain related Acts"
38-1,25,Conservative,2004-12-09T22:00:00,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,93,True,Opposition Motion (Sockeye salmon stocks)
38-1,25,Liberal,2004-12-09T22:00:00,True,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,128,True,Opposition Motion (Sockeye salmon stocks)
38-1,25,NDP,2004-12-09T22:00:00,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,19,True,Opposition Motion (Sockeye salmon stocks)
