division_id,official_date,deposit_date,date_matches
H39S2V061,2008-03-06,2008-03-06,True
H39S2V062,2008-03-10,2008-03-10,True
H39S2V063,2008-03-11,2008-03-11,True
H39S2V064,2008-03-12,2008-03-12,True
H39S2V065,2008-03-12,2008-03-12,True
H39S2V066,2008-03-12,2008-03-12,True
H39S2V067,2008-03-12,2008-03-12,True
H39S2V068,2008-03-12,2008-03-12,True
H39S2V069,2008-03-12,2008-03-12,True
H39S2V070,2008-03-12,2008-03-12,True
H39S2V071,2008-03-12,2008-03-12,True
H39S2V072,2008-03-12,2008-03-12,True
H39S2V073,2008-03-12,2008-03-12,True
H39S2V074,2008-03-13,2008-03-13,True
H39S2V075,2008-03-13,2008-03-13,True
H39S2V076,2008-03-13,2008-03-13,True
H39S2V077,2008-03-31,2008-03-31,True
H39S2V078,2008-04-01,2008-04-01,True
H39S2V079,2008-04-02,2008-04-02,True
H39S2V080,2008-04-02,2008-04-02,True
H39S2V081,2008-04-08,2008-04-08,True
H39S2V082,2008-04-08,2008-04-08,True
H39S2V083,2008-04-09,2008-04-09,True
H39S2V084,2008-04-09,2008-04-09,True
H39S2V085,2008-04-09,2008-04-09,True
H39S2V086,2008-04-09,2008-04-09,True
H39S2V087,2008-04-09,2008-04-09,True
H39S2V088,2008-04-10,2008-04-10,True
H39S2V089,2008-04-10,2008-04-10,True
H39S2V090,2008-04-16,2008-04-16,True
H39S2V091,2008-04-16,2008-04-16,True
H39S2V092,2008-04-16,2008-04-16,True
H39S2V093,2008-04-29,2008-04-29,True
H39S2V094,2008-05-01,2008-05-01,True
H39S2V095,2008-05-01,2008-05-01,True
H39S2V096,2008-05-06,2008-05-06,True
H39S2V097,2008-05-06,2008-05-06,True
H39S2V098,2008-05-06,2008-05-06,True
H39S2V099,2008-05-06,2008-05-06,True
H39S2V100,2008-05-06,2008-05-06,True
H39S2V101,2008-05-06,2008-05-06,True
H39S2V102,2008-05-06,2008-05-06,True
H39S2V103,2008-05-06,2008-05-06,True
H39S2V104,2008-05-06,2008-05-06,True
H39S2V105,2008-05-06,2008-05-06,True
H39S2V106,2008-05-07,2008-05-07,True
H39S2V107,2008-05-07,2008-05-07,True
H39S2V108,2008-05-07,2008-05-07,True
H39S2V109,2008-05-12,2008-05-12,True
H39S2V110,2008-05-14,2008-05-14,True
H39S2V111,2008-05-15,2008-05-15,True
H39S2V112,2008-05-26,2008-05-26,True
H39S2V113,2008-05-27,2008-05-27,True
H39S2V114,2008-05-28,2008-05-28,True
H39S2V115,2008-05-28,2008-05-28,True
H39S2V116,2008-05-28,2008-05-28,True
H39S2V117,2008-05-28,2008-05-28,True
H39S2V118,2008-05-29,2008-05-29,True
H39S2V119,2008-06-02,2008-06-02,True
H39S2V120,2008-06-02,2008-06-02,True
H39S2V121,2008-06-02,2008-06-02,True
H39S2V122,2008-06-03,2008-06-03,True
H39S2V123,2008-06-04,2008-06-04,True
H39S2V124,2008-06-04,2008-06-04,True
H39S2V125,2008-06-04,2008-06-04,True
H39S2V126,2008-06-04,2008-06-04,True
H39S2V127,2008-06-04,2008-06-04,True
H39S2V128,2008-06-04,2008-06-04,True
H39S2V129,2008-06-04,2008-06-04,True
