vote_number,date,subject,bill_number,result,yeas,nays,paired
353,2015-03-23T18:45:32,"3rd reading and adoption of Bill C-2, An Act to amend the Controlled Drugs and Substances Act",C-2,Agreed To,143,108,0
352,2015-03-12T11:17:24,"Time allocation for Bill S-7, An Act to amend the Immigration and Refugee Protection Act, the Civil Marriage Act and the Criminal Code and to make consequential amendments to other Acts",S-7,Agreed To,134,109,0
351,2015-03-11T18:45:00,"2nd reading of Bill C-625, An Act to amend the Statistics Act (removal of imprisonment)",C-625,Agreed To,263,0,0
350,2015-03-11T18:35:00,Fourth Report of the Standing Committee on Foreign Affairs and International Development,,Agreed To,264,0,0
349,2015-03-11T18:25:00,Opposition Motion (Government investments),,Negatived,118,146,0
348,2015-03-11T18:15:00,"2nd reading of Bill S-6, An Act to amend the Yukon Environmental and Socio-economic Assessment Act and the Nunavut Waters and Nunavut Surface Rights Tribunal Act",S-6,Agreed To,144,118,0
347,2015-03-11T17:00:09,"Time allocation for Bill S-6, An Act to amend the Yukon Environmental and Socio-economic Assessment Act and the Nunavut Waters and Nunavut Surface Rights Tribunal Act",S-6,Agreed To,140,117,0
346,2015-03-11T15:50:12,Motion to proceed to Orders of the Day,,Agreed To,141,121,0
345,2015-03-09T18:55:00,"Concurrence at report stage of Bill C-2, An Act to amend the Controlled Drugs and Substances Act",C-2,Agreed To,144,107,0
344,2015-03-09T18:45:00,"Bill C-2, An Act to amend the Controlled Drugs and Substances Act (report stage amendment, Motion No.1; Group 1)",C-2,Negatived,107,144,0
343,2015-03-09T18:40:26,"2nd reading of Bill C-46, An Act to amend the National Energy Board Act and the Canada Oil and Gas Operations Act",C-46,Agreed To,251,0,0
342,2015-02-26T10:30:07,"Time allocation for Bill C-2, An Act to amend the Controlled Drugs and Substances Act",C-2,Agreed To,142,104,0
341,2015-02-25T15:00:49,"3rd reading and adoption of Bill C-586, An Act to amend the Canada Elections Act and the Parliament of Canada Act (candidacy and caucus reforms)",C-586,Agreed To,260,17,0
340,2015-02-24T17:30:01,Opposition Motion (Special committee on the Supreme Court of Canada decision in Carter v. Canada),,Negatived,132,146,0
339,2015-02-23T18:50:11,"3rd reading and adoption of Bill C-32, An Act to enact the Canadian Victims Bill of Rights and to amend certain Acts",C-32,Agreed To,263,0,0
338,2015-02-23T18:40:00,"2nd reading of Bill C-51, An Act to enact the Security of Canada Information Sharing Act and the Secure Air Travel Act, to amend the Criminal Code, the Canadian Security Intelligence Service Act and the Immigration and Refugee Protection Act and to make related and consequential amendments to other Acts",C-51,Agreed To,176,87,0
337,2015-02-23T18:30:00,"2nd reading of Bill C-51, An Act to enact the Security of Canada Information Sharing Act and the Secure Air Travel Act, to amend the Criminal Code, the Canadian Security Intelligence Service Act and the Immigration and Refugee Protection Act and to make related and consequential amendments to other Acts (reasoned amendment)",C-51,Negatived,87,176,0
336,2015-02-19T12:38:44,"Time allocation for Bill C-51, An Act to enact the Security of Canada Information Sharing Act and the Secure Air Travel Act, to amend the Criminal Code, the Canadian Security Intelligence Service Act and the Immigration and Refugee Protection Act and to make related and consequential amendments to other Acts",C-51,Agreed To,132,111,0
335,2015-02-19T11:10:48,Motion to adjourn the debate,,Agreed To,133,107,0
334,2015-02-16T20:20:41,Opposition Motion (Job creation),,Negatived,82,162,0
333,2015-02-16T20:15:59,Government Business No. 14 (Parliamentary precinct security),,Agreed To,138,82,0
332,2015-02-16T20:10:59,Government Business No. 14 (Parliamentary precinct security) (amendment),,Negatived,83,161,0
331,2015-02-16T20:00:26,Government Business No. 14 (Parliamentary precinct security) (subamendment),,Negatived,106,138,0
330,2015-02-16T16:15:05,Motion for closure,,Agreed To,132,96,0
329,2015-02-04T19:35:00,"3rd reading and adoption of Bill C-518, An Act to amend the Members of Parliament Retiring Allowances Act (withdrawal allowance)",C-518,Agreed To,257,13,0
328,2015-02-04T19:25:58,"Concurrence at report stage of Bill C-518, An Act to amend the Members of Parliament Retiring Allowances Act (withdrawal allowance)",C-518,Agreed To,256,15,0
327,2015-02-04T19:15:09,"Bill C-518, An Act to amend the Members of Parliament Retiring Allowances Act (withdrawal allowance) (report stage amendment)",C-518,Negatived,122,149,0
326,2015-02-04T19:05:18,14th Report of the Standing Committee on Justice and Human Rights,,Agreed To,274,0,0
325,2015-02-04T18:55:29,"13th Report of the Standing Committee on Justice and Human Rights, (extension of time, pursuant to Standing Order 97.1, to consider Bill C-587, An Act to amend the Criminal Code (increasing parole ineligibility))",,Agreed To,273,0,0
324,2015-02-04T18:45:55,Private Members' Business M-534 (Child poverty),,Agreed To,269,1,0
323,2015-02-04T18:35:32,"2nd reading of Bill C-626, An Act to amend the Statistics Act (appointment of Chief Statistician and long-form census)",C-626,Negatived,126,147,0
322,2015-02-04T18:25:12,"Concurrence at report stage of Bill C-32, An Act to enact the Canadian Victims Bill of Rights and to amend certain Acts",C-32,Agreed To,273,0,0
321,2015-02-04T16:25:27,"Time allocation for Bill C-32, An Act to enact the Canadian Victims Bill of Rights and to amend certain Acts",C-32,Agreed To,141,115,0
320,2015-02-03T18:22:57,Opposition Motion (Newfoundland and Labrador Fisheries Investment Fund),,Negatived,116,148,0
319,2015-02-02T18:50:47,"3rd reading and adoption of Bill C-44, An Act to amend the Canadian Security Intelligence Service Act and other Acts",C-44,Agreed To,174,81,0
318,2015-02-02T18:40:48,Opposition Motion (Annual First Ministers' Conferences),,Negatived,108,146,0
317,2015-01-28T18:35:55,"2nd reading of Bill C-579, An Act to reduce the effects of urban heat islands on the health of Canadians",C-579,Negatived,122,148,0
316,2015-01-28T18:30:12,Private Members' Business M-535 (Amendments to the Standing Orders),,Negatived,8,260,0
315,2015-01-28T18:25:21,Opposition Motion (Economic situation),,Negatived,124,147,0
314,2015-01-28T19:54:25,"Concurrence at report stage of Bill C-44, An Act to amend the Canadian Security Intelligence Service Act and other Acts",C-44,Agreed To,183,88,0
313,2015-01-28T18:15:43,"Bill C-44, An Act to amend the Canadian Security Intelligence Service Act and other Acts (report stage amendment)",C-44,Negatived,90,179,0
312,2015-01-28T15:30:38,"Time allocation for Bill C-44, An Act to amend the Canadian Security Intelligence Service Act and other Acts",C-44,Agreed To,144,118,0
311,2015-01-26T18:30:06,"3rd reading and adoption of Bill C-40, An Act respecting the Rouge National Urban Park",C-40,Agreed To,137,106,0
310,2014-12-10T16:05:49,"2nd reading of Bill C-603, An Act to amend the Motor Vehicle Safety Act (vehicle side guards)",C-603,Negatived,121,148,0
309,2014-12-10T15:55:47,"3rd reading and adoption of Bill C-43, A second Act to implement certain provisions of the budget tabled in Parliament on February 11, 2014 and other measures",C-43,Agreed To,151,119,0
308,2014-12-10T15:45:29,"3rd reading and adoption of Bill C-43, A second Act to implement certain provisions of the budget tabled in Parliament on February 11, 2014 and other measures (reasoned amendment)",C-43,Negatived,120,151,0
307,2014-12-10T15:35:24,"3rd reading and adoption of Bill S-211, An Act to establish a national day to promote health and fitness for all Canadians",S-211,Agreed To,271,0,0
306,2014-12-10T15:25:48,"2nd reading of Bill C-524, An Act to amend the Canada Elections Act (election advertising)",C-524,Negatived,120,150,0
305,2014-12-10T15:15:26,Private Members' Business M-505 (Immigration and Refugee Protection Regulations),,Agreed To,154,113,0
304,2014-12-08T19:05:00,"Concurrence at report stage of Bill C-43, A second Act to implement certain provisions of the budget tabled in Parliament on February 11, 2014 and other measures",C-43,Agreed To,153,110,0
303,2014-12-08T18:55:47,"Bill C-43, A second Act to implement certain provisions of the budget tabled in Parliament on February 11, 2014 and other measures (report stage amendment)",C-43,Negatived,110,153,0
302,2014-12-08T18:45:01,"Bill C-43, A second Act to implement certain provisions of the budget tabled in Parliament on February 11, 2014 and other measures (report stage amendment)",C-43,Negatived,111,152,0
301,2014-12-04T12:05:30,"Time allocation for Bill C-40, An Act respecting the Rouge National Urban Park",C-40,Agreed To,136,106,0
300,2014-12-04T10:50:32,"Time allocation for Bill C-43, A second Act to implement certain provisions of the budget tabled in Parliament on February 11, 2014 and other measures",C-43,Agreed To,136,108,0
299,2014-12-03T19:15:00,"3rd reading and adoption of Bill S-213, An Act respecting Lincoln Alexander Day",S-213,Agreed To,275,0,0
298,2014-12-03T19:05:00,"3rd reading and adoption of Bill C-247, An Act to provide that the Department of Employment and Social Development is the main point of contact with the Government of Canada in respect of the death of a Canadian citizen or resident",C-247,Agreed To,276,0,0
297,2014-12-03T18:55:00,"3rd reading and adoption of Bill C-591, An Act to amend the Canada Pension Plan and the Old Age Security Act (pension and benefits)",C-591,Agreed To,276,0,0
296,2014-12-03T18:45:00,"2nd reading of Bill C-574, An Act to amend the Department of Public Works and Government Services Act (use of wood)",C-574,Negatived,121,154,0
295,2014-12-03T18:35:24,"3rd reading and adoption of Bill C-45, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2015",C-45,Agreed To,151,127,0
294,2014-12-03T18:25:00,"Concurrence at report stage of Bill C-45, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2015",C-45,Agreed To,151,127,0
293,2014-12-03T18:15:00,"2nd reading of Bill C-45, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2015",C-45,Agreed To,151,127,0
292,2014-12-03T18:05:00,Concurrence in estimates,,Agreed To,151,127,0
291,2014-12-03T18:45:00,Opposition Motion (Proportional representation),,Negatived,110,166,0
290,2014-12-01T18:45:00,Opposition Motion (Thalidomide ),,Agreed To,256,0,0
289,2014-11-26T18:20:37,Private Members' Business M-532 (Care for veterans),,Agreed To,268,0,0
288,2014-11-26T18:10:29,"Bill C-583, An Act to amend the Criminal Code (fetal alcohol spectrum disorder) (referral of subject-matter of the Bill to a committee)",,Agreed To,236,32,0
287,2014-11-26T18:00:39,"Bill C-583, An Act to amend the Criminal Code (fetal alcohol spectrum disorder) (referral of subject-matter of the Bill to a committee)",C-583,Agreed To,147,121,0
286,2014-11-25T10:45:00,"Concurrence at report stage of Bill C-40, An Act respecting the Rouge National Urban Park",C-40,Agreed To,140,99,0
285,2014-11-24T18:40:43,"2nd reading of Bill C-26, An Act to amend the Criminal Code, the Canada Evidence Act and the Sex Offender Information Registration Act, to enact the High Risk Child Sex Offender Database Act and to make consequential amendments to other Acts",C-26,Agreed To,242,2,0
284,2014-11-24T18:30:58,"3rd reading and adoption of Bill C-18, An Act to amend certain Acts relating to agriculture and agri-food",C-18,Agreed To,166,76,0
283,2014-11-19T18:30:24,"2nd reading of Bill C-608, An Act respecting a National Day of the Midwife",C-608,Agreed To,255,0,0
282,2014-11-19T18:20:42,First Report of the Standing Committee on Agriculture and Agri-Food,,Agreed To,173,82,0
281,2014-11-19T18:10:34,First Report of the Standing Committee on Agriculture and Agri-Food (amendment),,Agreed To,172,84,0
280,2014-11-19T18:00:19,First Report of the Standing Committee on Agriculture and Agri-Food (subamendment),,Negatived,113,143,0
279,2014-11-19T18:24:18,"Concurrence at report stage of Bill C-18, An Act to amend certain Acts relating to agriculture and agri-food",C-18,Agreed To,174,82,0
278,2014-11-19T18:20:32,"Bill C-18, An Act to amend certain Acts relating to agriculture and agri-food (report stage amendment)",C-18,Negatived,112,144,0
277,2014-11-19T18:15:47,"Bill C-18, An Act to amend certain Acts relating to agriculture and agri-food (report stage amendment)",C-18,Negatived,82,174,0
